iter	Passed	Remaining
0	1	114
1	1	73
2	1	61
3	2	51
4	2	46
5	2	43
6	3	42
7	3	40
8	3	38
9	4	37
10	4	36
11	4	35
12	5	34
13	5	33
14	5	32
15	6	32
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	9	28
24	9	28
25	9	27
26	10	27
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	23
36	13	23
37	14	23
38	14	22
39	14	22
40	15	21
41	15	20
42	15	20
43	15	20
44	16	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	19	15
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	10
68	23	10
69	23	10
70	24	9
71	24	9
72	24	9
73	25	8
74	25	8
75	25	8
76	26	7
77	26	7
78	26	7
79	27	6
80	27	6
81	27	6
82	28	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	29	3
89	30	3
90	31	3
91	31	2
92	31	2
93	31	2
94	32	1
95	32	1
96	32	1
97	33	0
98	33	0
99	33	0
