iter	Passed	Remaining
0	56	56588
1	57	28495
2	57	19109
3	57	14408
4	58	11576
5	58	9719
6	59	8378
7	59	7367
8	59	6597
9	61	6129
10	62	5598
11	62	5152
12	62	4780
13	63	4454
14	63	4181
15	63	3933
16	64	3712
17	64	3523
18	64	3347
19	65	3192
20	65	3058
21	65	2932
22	66	2816
23	66	2713
24	67	2639
25	67	2546
26	68	2461
27	68	2384
28	68	2309
29	69	2241
30	69	2175
31	69	2113
32	70	2055
33	70	2001
34	71	1962
35	71	1914
36	71	1867
37	72	1824
38	72	1783
39	72	1748
40	73	1721
41	74	1689
42	74	1654
43	74	1622
44	74	1590
45	75	1561
46	75	1532
47	75	1505
48	76	1479
49	76	1459
50	77	1436
51	77	1413
52	77	1392
53	78	1373
54	78	1356
55	79	1340
56	80	1325
57	80	1306
58	80	1289
59	81	1270
60	81	1257
61	82	1244
62	82	1229
63	83	1213
64	83	1198
65	83	1183
66	83	1168
67	84	1154
68	84	1142
69	85	1129
70	85	1117
71	85	1105
72	86	1096
73	87	1098
74	88	1087
75	88	1077
76	89	1067
77	89	1061
78	90	1051
79	90	1040
80	91	1032
81	91	1022
82	91	1010
83	91	1002
84	92	994
85	92	986
86	93	977
87	93	968
88	94	965
89	94	957
90	94	948
91	95	940
92	95	933
93	96	925
94	97	927
95	97	921
96	98	916
97	98	908
98	99	901
99	99	894
100	100	895
101	101	893
102	101	887
103	102	884
104	103	881
105	104	877
106	104	870
107	104	863
108	104	856
109	105	856
110	106	851
111	106	845
112	106	839
113	107	833
114	107	827
115	107	821
116	107	815
117	108	809
118	108	804
119	108	798
120	109	795
121	109	789
122	110	784
123	110	779
124	110	775
125	111	772
126	111	766
127	111	762
128	112	759
129	113	756
130	113	752
131	113	748
132	114	747
133	115	743
134	115	739
135	115	734
136	116	731
137	116	727
138	117	725
139	117	723
140	118	719
141	118	714
142	118	712
143	119	709
144	119	706
145	120	702
146	120	699
147	120	695
148	121	693
149	121	689
150	122	686
151	122	683
152	122	680
153	123	677
154	123	673
155	123	670
156	124	668
157	125	666
158	125	663
159	126	662
160	126	658
161	126	655
162	127	652
163	127	649
164	127	646
165	128	644
166	128	641
167	129	639
168	129	636
169	129	634
170	130	631
171	130	629
172	131	627
173	131	624
174	132	622
175	132	620
176	132	617
177	133	617
178	134	615
179	134	613
180	134	610
181	135	607
182	135	605
183	136	603
184	136	601
185	136	599
186	137	597
187	137	595
188	138	593
189	138	591
190	139	589
191	139	586
192	139	584
193	140	582
194	140	580
195	140	578
196	141	576
197	141	573
198	142	572
199	142	570
200	142	568
201	143	566
202	143	564
203	144	562
204	144	560
205	144	558
206	145	556
207	145	554
208	145	552
209	146	550
210	146	548
211	147	546
212	147	545
213	147	543
214	148	541
215	148	539
216	149	537
217	149	535
218	149	534
219	150	532
220	150	530
221	150	528
222	151	526
223	151	525
224	151	523
225	152	521
226	152	519
227	153	518
228	153	516
229	153	515
230	154	513
231	154	511
232	154	509
233	155	508
234	155	507
235	156	505
236	156	503
237	156	502
238	157	500
239	157	498
240	157	496
241	158	495
242	158	493
243	158	492
244	159	490
245	159	488
246	159	487
247	160	485
248	160	484
249	160	482
250	161	480
251	161	479
252	161	478
253	162	476
254	162	474
255	162	473
256	163	472
257	163	470
258	163	468
259	164	467
260	164	466
261	164	464
262	165	463
263	165	461
264	165	460
265	166	459
266	166	457
267	167	456
268	167	455
269	167	453
270	168	452
271	168	450
272	168	449
273	169	448
274	169	447
275	169	445
276	170	444
277	170	443
278	170	441
279	171	440
280	171	439
281	172	438
282	172	436
283	172	435
284	173	434
285	173	433
286	173	432
287	174	430
288	174	429
289	174	428
290	175	426
291	175	425
292	175	424
293	176	422
294	176	421
295	176	420
296	177	419
297	177	418
298	177	416
299	178	415
300	178	414
301	178	413
302	179	412
303	179	410
304	179	409
305	180	408
306	180	407
307	180	406
308	181	405
309	181	403
310	181	402
311	182	401
312	182	400
313	182	399
314	182	397
315	183	396
316	183	395
317	183	394
318	184	393
319	184	392
320	184	391
321	185	389
322	185	388
323	185	387
324	186	386
325	186	385
326	186	384
327	187	383
328	187	382
329	187	381
330	188	380
331	188	379
332	188	378
333	189	377
334	189	376
335	189	375
336	190	374
337	190	372
338	190	371
339	191	370
340	191	369
341	191	368
342	192	367
343	192	366
344	192	365
345	193	364
346	193	363
347	193	362
348	193	361
349	194	360
350	194	359
351	194	358
352	195	357
353	195	356
354	195	355
355	196	354
356	196	353
357	196	352
358	197	351
359	197	351
360	197	350
361	198	349
362	198	348
363	198	347
364	199	346
365	199	345
366	199	344
367	200	343
368	200	342
369	200	341
370	201	340
371	201	339
372	201	339
373	202	338
374	202	337
375	202	336
376	203	335
377	203	334
378	203	333
379	203	332
380	204	331
381	204	331
382	204	330
383	205	329
384	205	328
385	206	327
386	206	326
387	206	325
388	206	325
389	207	324
390	207	323
391	207	322
392	208	321
393	208	320
394	208	320
395	209	319
396	209	318
397	210	317
398	210	317
399	210	316
400	211	315
401	211	314
402	211	313
403	212	312
404	212	312
405	212	311
406	213	310
407	213	309
408	213	308
409	214	308
410	214	307
411	214	306
412	215	305
413	215	304
414	215	304
415	216	303
416	216	302
417	216	301
418	216	300
419	217	300
420	217	299
421	217	298
422	218	297
423	218	297
424	219	296
425	219	295
426	219	294
427	220	294
428	220	293
429	220	292
430	221	291
431	221	291
432	221	290
433	221	289
434	222	288
435	222	287
436	222	286
437	223	286
438	223	285
439	223	284
440	223	283
441	224	283
442	224	282
443	224	281
444	225	280
445	225	279
446	225	279
447	225	278
448	226	277
449	226	276
450	226	276
451	227	275
452	227	274
453	227	274
454	228	273
455	228	272
456	228	272
457	229	271
458	229	270
459	229	269
460	230	269
461	230	268
462	230	267
463	231	267
464	231	266
465	231	265
466	232	265
467	232	264
468	232	263
469	233	262
470	233	262
471	233	261
472	234	260
473	234	260
474	234	259
475	235	258
476	235	258
477	235	257
478	236	256
479	236	256
480	236	255
481	237	254
482	237	254
483	237	253
484	238	252
485	238	252
486	238	251
487	239	251
488	239	250
489	239	249
490	240	248
491	240	248
492	240	247
493	241	246
494	241	246
495	241	245
496	242	244
497	242	244
498	242	243
499	243	243
500	243	242
501	243	241
502	243	241
503	244	240
504	244	239
505	244	239
506	245	238
507	245	237
508	245	237
509	246	236
510	246	235
511	246	235
512	247	234
513	247	234
514	247	233
515	248	232
516	248	232
517	248	231
518	249	231
519	249	230
520	249	229
521	250	229
522	250	228
523	250	227
524	251	227
525	251	226
526	251	225
527	252	225
528	252	224
529	252	224
530	253	223
531	253	222
532	253	222
533	253	221
534	254	220
535	254	220
536	254	219
537	255	219
538	255	218
